Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,982,913.48,936,898.45,1670,1622.49,806,785.54,123,120.59,0,0.00,"4,517","4,340.55",181,178.43,14,14.00,201,200.50,6,1.45,402,394.38,"4,919","4,734.93","£13,133,528.41","£225,753.86","£22,590.34","£66,202.23","£2,572,851.70","£1,079,812.23","£17,100,738.77","£3,150,356.79","-£196,470.92","£2,953,885.87","£20,054,624.64",
Ministry of Justice,Ministerial Department,Ministry of Justice,982,913.48,936,898.45,1670,1622.49,806,785.54,123,120.59,0,0.00,"4,517","4,340.55",181,178.43,14,14.00,201,200.50,6,1.45,402,394.38,"4,919","4,734.93","£13,133,528.41","£225,753.86","£22,590.34","£66,202.23","£2,572,851.70","£1,079,812.23","£17,100,738.77","£3,150,356.79","-£196,470.92","£2,953,885.87","£20,054,624.64",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13456,11750.92,2894,2705.18,2516,2335.40,599,584.75,33,33.00,0,0.00,"19,498","17,409.24",(..),762.70,(..),(..),(..),(..),(..),(..),0,762.70,"19,498","18,171.94","£32,971,478.03","£327,305.53","£61,898.82","£426,678.90","£5,890,932.54","£2,197,992.53","£41,876,286.35","£2,224,913.00",(..),"£2,224,913.00","£44,101,199.35",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,182,160.49,131,125.38,266,258.1,59,58.33,6,6.00,0,0.00,644,608.30,5,3.00,0,0.00,18,18.00,0,0.00,23,21.00,667,629.30,"£1,515,823.38","£8,318.64",(..),"£7,953.64","£271,273.83","£127,434.39","£1,930,803.88","£101,391.38",(..),"£101,391.38","£2,032,195.26",
National Offender Management Service,Executive Agency,Ministry of Justice,33178,31615.37,6076,5816.34,3618,3390.07,606,591.58,38,37.88,0,0.00,"43,516","41,451.24",(..),550.27,(..),1.54,(..),7.54,(..),4,0,563.35,"43,516","42,015","£97,240,178.69",£0.00,£0.00,"£3,578,600.96","£18,607,573.68","£7,527,238.64","£126,953,591.97","-£563,518.39","£55,979.09","-£507,539.30","£126,446,052.67",Only Agency FTE available. Agency HC not collected.
The Office of the Public Guardian,Executive Agency,Ministry of Justice,262,246.65,140,132.61,67,65.03,11,10.82,2,1.78,0,0.00,482,456.89,227,171.52,0,0.00,0,0.00,0,0.00,227,171.52,709,628.41,"£842,423.62","£11,505.96","£1,030.00","-£1,839.94","£146,250.89","£54,685.72","£1,054,056.25","£262,861.95",£0.00,"£262,861.95","£1,316,918.20",Agency lower due to fewer working days in December. Very little overtime so accrual adjustment reflected.
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,77,69.98,77,69.98,4,4.00,4,4.00,0,0.00,0,0.00,8,8.00,85,77.98,"£200,063.00",£57.00,(..),"£7,784.00","£35,063.00","£17,690.00","£260,657.00","£23,638.00",(..),"£23,638.00","£284,295.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,384,361.33,384,361.33,12,12.00,0,0.00,0,0.00,0,0.00,12,12.00,396,373.33,"£835,660.85","£1,335.49","£27,010.80","£6,023.98","£151,061.97","£60,629.05","£1,081,722.14","£27,006.25",£0.00,"£27,006.25","£1,108,728.39",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,12,11.54,18,16.94,23,22.69,12,11.20,3,3.00,1,0.40,69,65.77,5,5.00,0,0.00,0,0.00,0,0.00,5,5.00,74,70.77,"£175,618.30","£4,171.12",£650.00,(..),"£35,050.53","£14,551.35","£230,041.30","£18,003.85",(..),"£18,003.85","£248,045.15",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,29,28.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,"£131,728.83",(..),(..),(..),"£31,011.39","£16,221.85","£178,962.07",(..),(..),£0.00,"£178,962.07","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,859,810.26,273,263.25,409,392.49,121,119.13,11,11.00,7,1.20,"1,680","1,597.33",29,27.00,0,0.00,74,74.00,0,0.00,103,101.00,"1,783","1,698.33","£3,583,826.42",,,"£197,529.01",,"£298,326.87","£4,079,682.30","£681,406.20",,"£681,406.20","£4,761,088.50",
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,21,20.2,43,42.7,17,16.06,5,5.00,2,1.40,0,0.00,88,85.36,7,7.00,0,0.00,0,0.00,0,0.00,7,7.00,95,92.36,"£189,138.69","£21,065.45",(..),"£2,460.49","£33,314.28","£17,537.34","£263,516.25","£26,728.00",(..),"£26,728.00","£290,244.25", Sir David Calvert-Smith took up the role of Chairman on the 1st October 2012 but is paid on our Members payroll and is not included in these figures.
