Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,460,449,641,629.3,2035,2018,1556,1531.5,442,436.7,,,5134,5064.5,55,54.8,,,34,33.4,7,6.8,96,95,5230,5159.5,15935778.12,1033817.57,7665.57,124794.34,4326847.61,1548772.84,22977676.05,817126.47,221125.56,1038252.03,24015928.08,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,35,31.31,22,20.04,19,17.11,9,8.81,1,1,,,86,78.27,,,,,,,,,0,0,86,78.27,195808.84,8835.57,,423.63,54984.05,19644.21,279696.3,,,0,279696.3,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,14,13.67,181,175.78,780,759.85,336,332.38,97,96.48,,,1408,1378.16,69,67.81,75,73.91,,,,,144,141.72,1552,1519.88,4571946.61,831414.84,0,30268.9,1259018.68,416287.73,7108936.76,598829.87,,598829.87,7707766.63,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,7,6,2,1.125,1,1,,,10,8.125,,,,,,,,,0,0,10,8.125,30668.23,,7997.5,,1751.07,4249,44665.8,,,0,44665.8,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,11,11,19,19,18,18,2,2,,,50,50,1,1,,,,,,,1,1,51,51,181196.06,,,,38163.44,18994.31,238353.81,4245.6,,4245.6,242599.41,
FCO Services,Executive Agency,Foreign and Commonwealth Office,123,121.96,211,205.69,416,408.93,200,181.43,6,6,48,48,1004,972.01,32,32,5,5,147,143.7,5,5,189,185.7,1193,1157.71,2843221.02,628403.87,11100,278150.3,793272.64,338050.3,4892198.13,1889991.9,,1889991.9,6782190.03,
