Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,158,152.90,383,375.01,669,655.19,1169,1149.00,307,300.97,195,191.41,"2,881","2,824",4,3.2,148,139.75,175,169,0,0,327,311.95,"3,208","3,136","£11,563,835.00","£532,751.00","£20,760.00","£78,468.00","£2,525,377.00","£1,399,263.00","£16,120,454.00","£3,736,682.00","£2,316,459.00","£6,053,141.00","£22,173,595.00"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,7,6.60,5,5.00,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£59,565.00",£0.00,£0.00,£0.00,"£13,012.00","£6,530.00","£79,107.00",£0.00,£0.00,£0.00,"£79,107.00"
Crown Commercial Services,Executive Agency,Cabinet Office,22,21.59,103,97.55,321,309.54,193,186.76,29,27.00,0,0.00,668,642,22,22,0,0,0,0,0,0,22,22,690,664,"£2,197,929.75","£29,462.00",£0.00,£683.02,"£447,859.29","£244,291.98","£2,920,226.04","£327,360.28","£33,734.75","£361,095.03","£3,281,321.07"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,89,83.00,435,396.00,248,231.00,76,74.00,18,18.00,0,0.00,866,802,11,11,0,0,8,5,0,0,19,16,885,818,"£2,000,176.86","£31,592.45","£14,467.33","£12,952.81","£404,939.64","£201,074.10","£2,665,203.19","£69,611.80",£0.00,"£69,611.80","£2,734,814.99"
