Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",469,412.00,263,251.00,138,134.00,35,34.00,4,3.00,0,0.00,909,834.00,2,2.00,0,0.00,0,0.00,21,21.00,23,23,932,857,"£1,819,375.34","£32,238.95","£18,471.02","£29,028.18","£378,237.87","£174,326.41","£2,451,677.77","£3,422.30","£168,049.63","£171,471.93","£2,623,149.70",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4.00,1,1.00,7,6.60,4,4.00,1,1.00,0,0.00,17,16.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0,17,17,"£59,122.21",£0.00,£0.00,£0.00,"£12,777.73","£6,555.88","£78,455.82",£0.00,£0.00,£0.00,"£78,455.82",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),426,393.99,589,575.04,295,289.75,20,20.00,4,4.00,0,0.00,"1,334","1,282.78",66,53.92,1,0.96,71,44.06,1,1.00,139,100,"1,473","1,383","£3,226,303.88","£167,316.00",£0.00,"£34,938.65","£437,087.81","£320,950.11","£4,186,596.45","£577,439.76","£2,765.60","£580,205.36","£4,766,801.81",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",11,9.35,31,28.64,74,70.05,16,15.72,2,2.00,0,0.00,134,125.76,2,2.00,0,0.00,0,0.00,0,0.00,2,2,136,128,"£357,284.34","£3,474.51","£19,300.00",£277.79,"£89,882.49","£39,070.28","£509,289.41","£2,341.71",£0.00,"£2,341.71","£511,631.12",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),11,8.00,34,31.00,16,16.00,5,5.00,0,0.00,1,0.00,67,60.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,67,60,"£240,495.00","£21,600.00",£0.00,£0.00,"£54,738.00","£42,568.00","£359,401.00",£0.00,£0.00,£0.00,"£359,401.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",42,40.03,30,28.54,142,133.31,32,30.72,4,4.00,0,0.00,250,236.60,0,0.00,0,0.00,2,2.00,0,0.00,2,2,252,239,"£654,076.66","£10,655.45","£2,000.00","£1,828.15","£168,317.77","£63,842.51","£900,720.54","£5,199.12",£0.00,"£5,199.12","£905,919.66",
Higher Education Funding Council for England (HEFCE)**,Executive non-departmental public body,Department for Education (DfE),28,24.00,8,7.00,164,150.00,96,86.00,33,32.00,0,0.00,329,299.00,17,16.00,0,0.00,0,0.00,0,0.00,17,16,346,315,"£984,415.00","£6,648.00",£0.00,"£2,297.00","£202,667.00","£104,978.00","£1,301,005.00","£119,792.00",£0.00,"£119,792.00","£1,420,797.00",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,32,32.00,60,60.00,167,167.00,8,8.00,0,0.00,267,267.00,9,9.00,0,0.00,0,0.00,0,0.00,9,9,276,276,"£1,130,785.56","£168,414.68",£0.00,£0.00,"£289,859.89","£150,996.80","£1,740,056.93","£34,912.17",£0.00,"£34,912.17","£1,774,969.10",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",493,458.21,175,166.56,597,569.30,100,99.07,7,7.00,0,0.00,"1,372","1,300.14",61,61.00,0,0.00,8,8.00,0,0.00,69,69,"1,441","1,369","£3,424,232.00","£7,775.00",£0.00,£258.00,"£704,997.00","£344,415.00","£4,481,677.00","£406,453.70",£0.00,"£406,453.70","£4,888,130.70",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",207,183.87,347,328.10,298,289.89,264,245.97,26,26.00,0,0.00,"1,142","1,073.83",22,22.00,0,0.00,20,20.00,0,0.00,42,42,"1,184","1,116","£2,915,442.00","£133,951.00","£6,703.00","£33,669.00","£649,941.00","£352,453.00","£4,092,159.00","£404,250.00",£0.00,"£404,250.00","£4,496,409.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",502,481.30,"2,202","1,927.20","1,696","1,553.60",198,183.90,17,17.00,0,0.00,"4,615","4,163.00",0,0.00,14,14.00,0,0.00,0,0.00,14,14,"4,629","4,177","£9,941,209.26","£197,779.03",£200.00,"£607,457.80","£2,104,639.15","£1,033,341.10","£13,884,626.34","£139,461.39","£17,359.18","£156,820.57","£14,041,446.91",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",241,223.00,345,330.00,992,971.00,132,126.00,85,80.00,35,22.00,"1,830","1,752.00",7,7.00,23,23.00,3,3.00,0,0.00,33,33,"1,863","1,785","£5,186,591.00","£315,054.00",£0.00,"£13,600.00","£681,983.00","£567,892.00","£6,765,120.00","£69,207.00",£0.00,"£69,207.00","£6,834,327.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,190","2,104.20","2,190","2,104.20",11,11.00,0,0.00,70,59.50,0,0.00,81,71,"2,271","2,175","£5,721,795.00","£330,989.00",£0.00,"£142,508.00","£1,265,249.00","£629,269.00","£8,089,810.00","£517,289.00",£0.00,"£517,289.00","£8,607,099.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",244,216.00,433,405.40,"1,188","1,135.00",359,340.80,22,21.50,244,241.20,"2,490","2,359.90",5,5.00,0,0.00,0,0.00,0,0.00,5,5,"2,495","2,365","£6,698,639.97","£253,422.75","£25,223.00","£34,023.79","£1,693,319.38","£705,748.82","£9,410,377.71","£52,430.54",£0.00,"£52,430.54","£9,462,808.25",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,211,203.42,211,203.42,1,1,27,27,3,3,0,0,31,31,242,234.42,"£1,089,655.00","£58,209.00","£245,950.00",,"£237,915.00","£168,819.00","£1,800,548.00","£243,630.00",,"£243,630.00","£2,044,178.00",
Office for Fair Access (OFFA)**,Executive non-departmental public body,Department for Education (DfE),0,0.00,3,3.00,12,10.60,7,7.00,2,1.60,0,0.00,24,22.20,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24,22,"£74,538.95",£0.00,£0.00,£0.00,"£13,875.22","£7,894.58","£96,308.75",£0.00,£0.00,£0.00,"£96,308.75",Grade changes relate to restructure
Oil & Gas Authority (OGA),Other,"Department for Business, Energy & Industrial Strategy (BEIS)",12,11.26,8,7.92,66,64.87,46,46,7,6.9,,,139,136.95,2,2,0,0,16,14,0,0,18,16,157,152.95,"£595,946.01","£116,531.05",,£377.76,"£134,796.28","£83,906.70","£931,557.80","£191,332.69","£4,767.00","£196,099.69","£1,127,657.49",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",145,138.87,287,276.40,"1,123","1,098.92",381,366.74,37,35.28,103,103.00,"2,076","2,019.21",7,7.00,0,0.00,76,76.00,0,0.00,83,83,"2,159","2,102","£6,053,242.10","£333,591.76",£100.00,"£84,903.11","£1,522,985.56","£678,504.66","£8,673,327.19","£247,061.55",£0.00,"£247,061.55","£8,920,388.74",
Skills Funding Agency (SFA)**,Executive agency,Department for Education (DfE),31,30.08,69,65.36,339,330.55,209,206.38,16,16.00,0,0.00,664,648.37,5,5.00,0,0.00,65,65.00,0,0.00,70,70,734,718,"£2,130,513.06","£91,195.99","£230,750.00",£219.16,"£456,943.98","£273,017.93","£3,182,640.12","£768,217.00",£0.00,"£768,217.00","£3,950,857.12",
Student Loans Company Ltd**,Executive non-departmental public body,Department for Education (DfE),"2,077","1,961.10",713,680.52,146,142.53,18,18.00,5,5.00,9,1.17,"2,968","2,808.32",2,2.00,0,0.00,25,25.00,0,0.00,27,27,"2,995","2,835","£5,062,187.58","£162,076.51","£18,437.25","£177,014.41","£539,446.66","£458,085.13","£6,417,247.54","£297,261.18",£0.00,"£297,261.18","£6,714,508.72",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",49,45.55,82,78.58,390,383.15,142,138.44,10,10.00,21,21.00,694,676.72,4,4.00,0,0.00,355,355.00,0,0.00,359,359,"1,053","1,036","£2,440,000.00",£0.00,"£93,000.00","£43,000.00","£350,000.00","£296,000.00","£3,222,000.00","£1,081,739.00",£0.00,"£1,081,739.00","£4,303,739.00",Allowances included within Salary Costs.
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),3,3.00,11,10.70,23,21.40,7,7.00,3,3.00,0,0.00,47,45.10,0,0.00,0,0.00,2,2.00,0,0.00,2,2,49,47,"£265,146.20",£0.00,£0.00,£0.00,"£54,233.94","£29,616.36","£348,996.50","£18,651.90",£0.00,"£18,651.90","£367,648.40",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2.00,5,5.00,29,28.60,36,34.25,6,5.30,0,0.00,78,75.15,1,1.00,0,0.00,3,2.05,0,0.00,4,3,82,78,"£283,854.12","£3,451.73",£250.00,£212.96,"£52,962.25","£31,062.70","£371,793.76","£36,577.54",£0.00,"£36,577.54","£408,371.30",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
