Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,193,182.33,248,239.93,423,417.24,465,457.98,213,208.55,82,80.55,"1,624","1,587",12,11,34,32.6,4,3.5,8,4.28,58,51.38,"1,682","1,638","£5,455,248","£261,074","£934,881","£76,210","£1,156,215","£662,985","£8,546,613","£552,597","£153,772","£706,369","£9,252,982",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,1,1,2,2,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,"£13,699",£45,"£6,550",£0,"£2,705","£2,021","£25,020",£0,£0,£0,"£25,020",
Government Procurement Service,Executive Agency,Cabinet Office,24,23,55,53.3,140,135.54,71,70.75,4,4,0,0,294,287,3,3,14,14,0,0,0,0,17,17,311,304,"£872,719","£13,156",£0,"£1,948","£171,776","£76,953","£1,136,552","£131,108",£0,"£131,108","£1,267,660",
National School of Government,OTHER,Cabinet Office,58,48.79,42,36.89,17,16.59,41,37.76,7,7,0,0,165,147,0,0,0,0,0,0,0,0,0,0,165,147,"£469,155","£5,111",£0,"£1,350","£91,563","£42,742","£609,921",£0,£0,£0,"£609,921",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
