Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Innovation &Skills (BIS)",Ministerial Department,"Department for Business, Innovation & Skills (BIS)",103,96.8,320,310.2,841,820.7,892,854.4,176,167.8,0,0,"2,332","2,250",13,13,0,0,39,39,9,9,61,61,"2,393","2,311","£8,446,326.54","£304,822.93","£30,500.00","£53,508.94","£1,770,814.62","£994,692.05","£11,600,665.08","£1,020,349.00","£323,939.00","£1,344,288.00","£12,944,953.08",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",58,51.1,248,226.6,501,459.4,38,35.3,3,3,2,1.2,850,776.6,10,10,0,0,0,0,4,4,14,14,864,791,"£2,089,221.51","£17,252.39",£0.00,"£10,679.25","£426,160.77","£215,578.43","£2,758,892.35","£10,535.81","£11,500.00","£22,035.81","£2,780,928.16",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",6,5.68,34,32.07,54,50.9,10,9.4,2,2,0,0,106,100.05,0,0,0,0,4,4,0,0,4,4,110,104,"£264,929.22","£3,182.89",£0.00,£0.00,"£69,629.85",£0.00,"£337,741.96","£28,162.80",£0.00,"£28,162.80","£365,904.76",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",33,28.6,55,50.63,152,146.77,41,39.62,12,11.31,0,0,293,276.93,2,1.4,0,0,0,0,0,0,2,1,295,278,"£821,586.75","£25,278.18","£4,031.35","£2,113.47","£212,540.15","£86,193.30","£1,151,743.20","£4,944.60",£0.00,"£4,944.60","£1,156,687.80",
Companies House,Executive agency,"Department for Business, Innovation & Skills (BIS)",476,416.98,260,248,139,137,33,32,5,4,0,0,913,837.98,2,2,0,0,0,0,18,18,20,20,933,858,"£1,823,170.30","£35,857.41","£4,300.00","£74,443.04","£385,112.14","£179,499.11","£2,502,382.00","£8,796.89","£207,517.07","£216,313.96","£2,718,695.96",
Competition Service,Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",4,4,1,1,6,5.6,4,4,1,1,,,16,15.6,,,,,,,,,0,0,16,15.6,"£56,068.12",,"£4,500.00",,"£12,174.53","£6,815.17","£79,557.82",,,£0.00,"£79,557.82",
Construction Industry Training Board (CITB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",433,401.84,569,555.65,292,286.35,20,20,4,4,0,0,"1,318","1,267.84",79,55.82,1,1,84,42.23,2,1,166,100,"1,484","1,368","£3,322,015.00","£167,744.00",£0.00,"£26,262.00","£414,513.00","£335,918.00","£4,266,452.00","£551,602.00","£2,028.00","£553,630.00","£4,820,082.00",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",13,11.15,33,30.06,71,67.25,17,16.91,2,2,0,0,136,127.37,0,0,0,0,0,0,0,0,0,0,136,127,"£356,808.65","£3,407.09",£800.00,£0.00,"£89,476.40","£35,482.94","£485,975.08",£0.00,£0.00,£0.00,"£485,975.08",
