Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,137,132.97,401,393.92,673,657,989,967.78,238,233.25,183,178.44,"2,621","2,563",6,6,121,121,47,47,63,63,237,237,"2,858","2,800","£9,276,476.06","£409,145.40","£72,934.22","£99,087.47","£2,089,344.84","£1,123,767.61","£13,070,755.60","£2,732,685.31","971,328.33","£3,704,013.64","£16,774,769.24"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3,6,5.6,5,5,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"£37,274.38",£250.00,£500.00,£0.00,"£8,000.95","£4,034.64","£50,059.97",£0.00,£0.00,£0.00,"£50,059.97"
Crown Commercial Services,Executive Agency,Cabinet Office,23,21.15,113,107.77,334,324.74,204,199.69,66,62.81,0,0,740,716,0,0,58,58,0,0,0,0,58,58,798,774,"£2,651,730.40","£4,965.26","£305,950.00",£410.47,"£540,367.22","£341,580.35","£3,845,003.70","£618,677.44","£215,894.00","£834,571.44","£4,679,575.14"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,97,92,452,415,239,224,73,71,19,19,0,0,880,821,19,19,0,0,2,0.5,0,0,21,19.5,901,841,"£2,097,678.51","£26,585.75",£704.23,"£18,947.87","£423,931.23","£216,358.13","£2,784,205.72","£65,728.80",£0.00,"£65,728.80","£2,849,934.52"
