Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,,,18,18,,,,,,,1,1,1,1,19,19,"£65,366.93",,,,"£14,094.50","£7,314.41","£86,775.84",,"£2,775.00",2775,"£89,550.84",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",16,14.33,34,30.7,90,86.1,17,16.33,0,0,0,0,157,147.5,0,0,0,0,0,0,0,0,0,0,157,147.5,"£417,131.72","£12,712.22","£65,586.60",£138.42,"£108,901.93","£50,058.50","£654,529.39",£0.00,£0.00,0,"£654,529.39",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,51.84,37,33.79,156,147.31,43,40.45,3,3,0,0,295,276.4,0,0,0,0,0,0,0,0,0,0,295,276.4,"£816,591.16","£19,379.25","£88,880.39",£724.61,"£217,631.67","£94,641.67","£1,237,848.75",£0.00,£0.00,0,"£1,237,848.75",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)","1,047","1,017.19","2,115","1,838.40","1,796","1,630.20",213,197.87,20,19.92,0,0,"5,191","4,703.58",0,0,32,32,0,0,0,0,32,32,"5,223","4,736","£10,965,665.60","£239,799.78",£0.00,"£544,912.50","£2,300,774.42","£1,238,127.73",,"£308,845.47","£158,425.40","£467,270.87",,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,65,65,92,92,206,206,15,15,0,0,378,378,23,23,0,0,0,0,0,0,23,23,401,401,"£1,408,715.51","£186,308.38",£0.00,£0.00,"£352,955.13","£183,310.25","£2,131,289.27","£28,018.85",£0.00,28018.85,"£2,159,308.12",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",523,489.27,195,187.15,729,697.72,114,110.81,10,10,0,0,"1,571","1,494.95",58,58,0,0,17,17,0,0,75,75,"1,646","1,570","£3,982,823.00","£11,507.00","£30,850.00","£38,334.00","£831,284.00","£415,374.00","£5,310,172.00","£484,058.00",£0.00,"£484,058.00","£5,794,230.00",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",193,174.04,362,335.87,348,335.74,281,263.38,27,27,,,1211,1136,33,32.6,,,19,19,,,52,51.6,1263,1187.6,"£3,159,521.00","£141,050.00","£16,382.00","£71,090.00","£701,441.00","£352,487.00","£4,441,971.00","£544,107.00",,544107,"£4,986,078.00",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",195,180,282,270,755,738,99,96,68,64,18,9,"1,417","1,357.00",7,7,20,20,1,1,1,1,29,29,"1,446","1,386","£4,104,220.00","£221,130.00","£591,749.00","£10,066.00","£559,112.00","£545,171.00","£6,031,448.00","£155,750.00",£0.00,"£155,750.00","£6,187,198.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",232,120,417,387.2,"1,243","1,182.60",321,305,22,21.8,324,321.3,2559,2337.9,3,2.3,0,0,2,2,0,0,5,4.3,2564,2342.2,"£6,756,904.11","£334,182.80","£18,533.00","£31,694.86","£1,698,790.07","£726,160.28","£9,566,265.12","£78,275.86",£0.00,78275.86,"£9,644,540.98",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,219,209,219,209,6,6,29,29,,,,,35,35,254,244,"£1,136,702.00","£62,739.00","£284,685.00",,"£235,703.00","£176,880.00","£1,896,709.00","£287,756.00",,287756,"£2,184,465.00",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",151,144.67,306,295.7,"1,181","1,146.76",409,392.15,39,36.78,66,66,2152,2082.1,37,37,0,0,0,0,37,37,74,74,2226,2156.1,"£6,353,136.00","£373,779.05",£125.00,"£87,523.71","£1,752,967.00","£860,179.30","£9,427,710.06","£219,529.12",£0.00,219529.12,"£9,647,239.18",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,54.8,107,102.99,497,488.2,164,158.93,11,11,34,34,871,849.92,4,4,0,0,323,323,0,0,327,327,"1,198","1,177","£3,066,232.78",£0.00,"£127,748.41","£61,336.83","£531,672.42","£387,146.09","£4,174,136.53","£1,328,177.85",£0.00,"£1,328,177.85","£5,502,314.38",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,9,9,74,73.47,54,52.76,8,7.1,0,0,150,147.3,1,1,0,0,6,6,0,0,7,7,157,154.3,"£513,579.16","£2,680.93","£1,350.00",£0.00,"£109,162.44","£56,776.17","£683,548.70","£70,191.58",£0.00,70191.58,"£753,740.28",
