Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4.00,2,2.00,4,3.72,7,7.00,1,1.00,0,0.00,18,17.72,0,0.00,0,0.00,0,0.00,1,1.00,1,1,19,19,"£64,616.11",£0.00,"£4,000.00",£0.00,"£13,938.12","£7,762.79","£90,317.02",£0.00,"£3,775.00","£3,775.00","£94,092.02",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,37,34.45,79,75.02,17,16.53,0,0.00,0,0.00,148,139.54,0,0.00,0,0.00,0,0.00,0,0.00,0,0,148,140,"£369,904.62","£4,035.79",£800.00,£0.00,"£93,904.32","£35,721.34","£504,366.07",£0.00,£0.00,£0.00,"£504,366.07",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,53.18,37,34.64,153,145.03,39,37.39,3,3.00,0,0.00,290,273.24,0,0.00,0,0.00,0,0.00,0,0.00,0,0,290,273,"£763,387.26","£14,530.24","£1,050.00",£63.49,"£200,738.22","£77,726.10","£1,057,495.31",£0.00,£0.00,£0.00,"£1,057,495.31",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",741,713.24,"2,136","1,862.41","1,749","1,590.73",211,194.93,18,18.00,0,0.00,"4,855","4,379.31",0,0.00,29,29.00,0,0.00,0,0.00,29,29,"4,884","4,408","£10,383,129.45","£240,160.20","£1,183.20","£476,458.68","£2,184,650.92","£1,143,831.66","£14,429,414.11","£191,740.64","£129,586.60","£321,327.24","£14,750,741.35",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,62,62.00,83,83.00,184,184.00,13,13.00,0,0.00,342,342.00,9,9.00,0,0.00,0,0.00,0,0.00,9,9,351,351,"£1,263,590.14","£156,129.63",£0.00,£0.00,"£311,235.48","£167,693.90","£1,898,649.15","£182,426.18",£0.00,"£182,426.18","£2,081,075.33",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",510,474.85,199,190.80,667,637.70,113,109.93,10,10.00,0,0.00,"1,499","1,423.28",45,45.00,0,0.00,9,9.00,0,0.00,54,54,"1,553","1,477","£3,774,011.00","£9,704.00","£13,300.00","£12,820.00","£857,797.00","£426,881.00","£5,094,513.00","£400,864.00",£0.00,"£400,864.00","£5,495,377.00",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",176,157.07,378,353.26,320,309.82,277,258.89,27,27.00,0,0.00,"1,178","1,106.04",38,38.00,0,0.00,12,12.00,0,0.00,50,50,"1,228","1,156","£3,089,240.00","£142,839.00","£7,559.00","£40,186.00","£696,379.00","£344,712.00","£4,320,915.00","£267,153.00",£0.00,"£267,153.00","£4,588,068.00",,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",202,187.00,279,266.00,805,788.00,108,103.00,74,69.00,29,18.00,"1,497","1,431.00",5,5.00,19,19.00,1,1.00,0,0.00,25,25,"1,522","1,456","£4,303,754.00","£279,366.00",£0.00,"£9,312.00","£570,255.00","£471,256.00","£5,633,943.00","£419,986.00",£0.00,"£419,986.00","£6,053,929.00",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,2002,1914,2002,1914,13,9.9,0,0,53,50.1,8,6,74,66,2076,1980,"£5,296,665.00","£286,390.00",£0.00,"£132,197.00","£1,161,468.00","£579,478.00","£7,456,198.00","£463,089.00",£0.00,"£463,089.00","£7,919,287.00",,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",230,198.70,409,380.70,"1,201","1,144.30",367,349.30,23,22.70,287,282.80,"2,517","2,378.50",7,6.70,0,0.00,2,2.00,0,0.00,9,9,"2,526","2,387","£131,059.38","£241,882.27","£20,112.36","£27,534.08","£1,682,260.47","£700,108.13","£2,802,956.69","£103,779.72","£7,332.25","£111,111.97","£2,914,068.66",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,220,210.23,220,210.23,4,4.00,23,21.29,0,0.00,0,0.00,27,25,247,236,"£1,068,921.07","£48,369.83","£279,527.61",£0.00,"£231,154.77","£167,515.44","£1,795,488.72","£255,423.74",£0.00,"£255,423.74","£2,050,912.46",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",149,143.86,285,275.86,"1,164","1,130.72",392,376.23,38,35.78,59,59.00,"2,087","2,021.45",22,22.00,0,0.00,36,36.00,0,0.00,58,58,"2,145","2,079","£6,172,959.00","£335,606.29","£61,326.00","£79,577.81","£1,600,521.00","£707,370.20","£8,957,360.30","£115,650.55",£0.00,"£115,650.55","£9,073,010.85",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",59,55.58,103,99.61,464,455.43,159,154.30,10,10.00,34,34.00,829,808.92,4,4.00,0,0.00,327,327.00,0,0.00,331,331,"1,160","1,140","£2,878,492.85",£0.00,"£129,663.05","£67,726.08","£502,611.90","£356,785.60","£3,935,279.48","£1,241,342.24",£0.00,"£1,241,342.24","£5,176,621.72",Allowances included within Salary costs.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,6,6,53,51.55,50,47.66,7,6.1,0,0,118,113.31,1,1,0,0,6,4,0,0,7,5,125,118.31,"£423,935.62","£4,369.07","£1,700.00",£0.00,"£87,561.57","£48,292.09","£565,858.35","£54,776.16",£0.00,"£54,776.16","£620,634.51",,,,
