Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,141,136.29,439,427.55,785,769.11,1286,1263.20,325,318.80,1462,1457.02,"4,438","4,372",7,7,143,143,178,178,1,1,329,329,"4,767","4,701","£15,988,459.00","£512,868.00","£1,712,103.00","£77,351.00","£3,435,154.00","£2,097,305.00","£23,823,240.00","£6,269,917.06","£437,542.03","£6,707,459.09","£30,530,699.09"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,8,7.20,5,5.00,0,0.00,1,1.00,19,18,0,0,0,0,0,0,0,0,0,0,19,18,"£62,120.00",£0.00,"£5,545.00",£0.00,"£13,549.00","£7,557.00","£88,771.00",£0.00,£0.00,£0.00,"£88,771.00"
Crown Commercial Services,Executive Agency,Cabinet Office,24,22.66,98,94.80,309,297.02,181,174.84,25,24.00,0,0.00,637,613,26,26,0,0,0,0,0,0,26,26,663,639,"£2,086,215.94","£28,673.58","£30,920.48",£0.00,"£418,987.86","£235,826.94","£2,800,624.80","£324,139.20","£38,375.00","£362,514.20","£3,163,139.00"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,84,79.00,400,364.00,245,229.00,82,81.00,18,18.00,0,0.00,829,771,14,14,0,0,6,3,0,0,20,17,849,788,"£2,131,381.69","£30,379.75",£0.00,"£6,741.09","£433,519.42","£253,790.45","£2,855,812.40","£61,753.42",£0.00,"£61,753.42","£2,917,565.82"
