Organisation name,Organisation type,"Main, parent or sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Culture Media & Sport ,Ministerial Department,"Department for Culture, Media & Sport",11,11,143,139.5894895,305,300.0222222,358,347.486139,70,66.28108108,0,0,887,864,10,10,0,0,69,60.95,16,16,95,86.95,982,951,"£3,144,361.88","£63,662.68","£7,798.33","£4,109.56","£670,680.69","£360,381.62","£4,250,994.76","£580,253.00","£1,533,897.00","£2,114,150.00","£6,365,144.76",The consultancy costs include those incurred in March but also accruals that were placed at the end of the financial year.
National Archives,Executive Agency,"Department for Culture, Media and Sport",98,87,98,94.42,251,242.42,66,64.53,6,6,0,0,519,494,2,2,0,0,10,10,0,0,12,12,531,506,"£1,470,908.02","£13,230.67","£245,000.00","£5,138.08","£299,109.02","£155,658.48","£2,189,044.27",£0.00,£0.00,£0.00,"£2,189,044.27",
