Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,
2023,July,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",62,60.9,416,405.45,2854,2816.5,3043,2967.43,351,335.54,0,0,6726,6585.82,5,5,289,226.8,1,1,295,232.8,16,7021,6818.62,26176447.66,947950.55,9434711.74,55037.36,7381325.9,4338452.16,48333925.37,412837.47,5232179.16,5645016.63,53978942,
2023,July,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",326,297.7883183,446,407.0115766,200,189.9255556,19,18.5,2,2,0,0,993,915.2254505,2,2,0,0,31,31,0,0,0,993,915.2254505,2549741.58,21015.12,0,4281.25,693914.91,256570.09,3525522.95,0,0,0,3525522.95,
2023,July,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1378,1351.58062,175,167.91756,32,30.68,0,0,0,0,0,0,1585,1550.17818,0,0,0,0,0,0,0,0,0,1585,1550.17818,5153965,108723,0,651033,1049885,698044,7661650,0,0,0,7661650,
2023,July,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",9,8.5,28,26.2,216,208.6,94,92,3,3,0,0,350,338.3,10,8.5,0,0,0,0,10,8.5,0,360,346.8,1158557,17321.44,18803.72,411.57,310050.65,129101.06,1634245.44,0,0,0,1634245.44,
2023,July,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,0,17,16.9,28,26.05,4,4,0,0,50,46.95,0,0,0,0,0,0,0,0,0,50,46.95,292583,0,0,0,61627,35695,389905,14221,0,14221,404126,
2023,July,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",444,393.72,319,300.49,429,414.57,114,111.54,8,8,0,0,1314,1228.32,1,1,68,68,0,0,69,69,0,1383,1297.32,3316873.58,159246.45,1757.17,28515.19,903790.17,572668.79,4982851.35,1132401,0,1132401,6115252.35,
2023,July,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,6,1,1,4,3.9,10,10,0,0,1,1,22,21.9,0,0,0,0,0,0,0,0,3,22,21.9,93615.99,216.66,36835,0,26123.44,15713.79,172504.88,0,5150,5150,177654.88,
2023,July,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1603,1495.726051,2511,2239.997147,2316,2076.964039,319,301.4116366,28,27.60810811,0,0,6777,6141.706982,0,0,213,213,0,0,213,213,2,6990,6354.706982,17242261.14,222828.64,8899017.97,1621239.75,4488605.68,7238254.42,39712207.6,351704.47,15339,367043.47,40079251.07,
2023,July,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",476,440.2,194,185.182,812,778.17,160,154.934,12,12,0,0,1654,1570.486,92,92,51,51,0,0,143,143,0,1797,1713.486,4623141.79,27357.28,32150,16364.58,1228865.2,797704.58,6725583.43,989155.89,0,989155.89,7714739.32,
2023,July,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",192,173.09,423,394.72,618,593.07,435,411.33,23,22.35,0,0,1691,1594.56,55,55,0,0,41,41,96,96,4,1787,1690.56,5331634,236327,189734,136008,1519667,587365,8000735,648701,0,648701,8649436,
