Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,164,150.61,265,255.45,821,805.01,791,770.02,143,138.95,0,0,"2,184","2,120",21,21,0,0,76,76,0,0,97,97,"2,281","2,217","£8,062,424.02","£120,781.84","£111,293.47","£75,306.01","£1,801,839.57","£1,001,399.09","£11,173,044.00","£1,267,183.42","£1,654,292.07","£2,921,475.49","£14,094,519.49",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4330,3739.33,838,783.49,767,729.77,215,206.22,9,9,0,0,"6,159","5,468",0,0,6,5.95,20,18.68,0,0,26,24.64,"6,185","5,492","£10,811,868.00","£74,758.00","£582,635.00","£57,289.00","£2,208,884.00","£1,010,247.00","£14,745,681.00","£560,582.00","£6,000.00","£566,582.00","£15,312,263.00",
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1193,1103.93,2693,2536.14,700,685.25,88,86.74,6,6,0,0,"4,680","4,418",59,58.6,3,3,51,51,0,0,113,112.6,"4,793","4,531","£9,587,776.73","£612,917.70","£27,221.47","£169,325.36","£2,053,269.71","£1,017,805.10","£13,468,316.07","£710,360.71",£0.00,"£710,360.71","£14,178,676.78",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,278,255.39,222,213.33,439,418.3,118,115.94,5,4.54,0,0,"1,062","1,008",19,19,0,0,0,0,0,0,19,19,"1,081","1,027","£2,605,247.83","£262,259.29","£7,203.00","£109,168.05","£583,767.21","£309,159.06","£3,876,804.44","£83,685.91",,"£83,685.91","£3,960,490.35",
Vehicle Certification Agency,Executive Agency,Department for Transport,40,35.15,31,28.59,78,74.83,9,9,1,1,0,0,159,149,3,3,0,0,0,0,0,0,3,3,162,152,"£450,376.00","£28,236.00","-£4,000.00","£29,692.00","£87,698.00","£49,678.00","£641,680.00","£13,968.00",,"£13,968.00","£655,648.00",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,7,7,5,4.6,3,3,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,15,"£46,240.00","£3,433.00",,,"£5,984.00","£5,920.00","£61,577.00",,"£1,500.00","£1,500.00","£63,077.00",
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,73,72,52,52,349,347,335,331,159,159,135,128.3,"1,103","1,089",55,55,206,206,124,124,0,0,385,385,"1,488","1,474","£7,023,192.00",,,£533.00,"£486,991.00","£654,809.00","£8,165,525.00","£3,986,758.00",,"£3,986,758.00","£12,152,283.00",
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,9.6,18,18,62,60.8,15,14.8,4,4,74,68.7,201,176,14,6,0,0,0,0,0,0,14,6,215,182,"£661,288.15","£9,020.18",£0.00,"£21,598.11","£113,460.58","£73,633.78","£879,000.80","£24,783.02",,"£24,783.02","£903,783.82",
