Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,166,151.3944444,273,263.0330405,835,818.4700901,823,799.2012012,152,147.9527778,0,0,"2,249","2,180",20,20,0,0,82,82,0,0,102,102,"2,351","2,282","£8,835,007.71","£124,931.01","£64,582.01","£81,517.06","£1,845,713.17","£1,022,763.78","£11,974,514.74","£785,247.20","£6,211,766.20","£6,997,013.40","£18,971,528.14",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4328,3722.412973,836,783.1710811,784,747.7851351,212,201.7486486,8,8,0,0,"6,168","5,463",0,0,6,5.571428571,21,18.16666667,0,0,27,23.73809524,"6,195","5,487","£12,054,183.00","£75,405.00","£15,755.00","£72,399.00","£2,202,213.00","£944,536.00","£15,364,491.00","£575,842.00","£16,252.00","£592,094.00","£15,956,585.00",
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1159,1072.86,2730,2573.14,710,694.7,89,87.77,5,5,0,0,"4,693","4,433",45,44.6,4,4,57,57,0,0,106,105.6,"4,799","4,539","£9,669,831.29","£613,843.28","£4,953.55","£139,688.15","£2,061,358.50","£1,012,691.98","£13,502,366.75","£732,838.74","-£16,228.21","£716,610.53","£14,218,977.28",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,295,272.9,228,218.4,435,415,122,118.94,5,4.54,0,0,"1,085","1,030",26,26,0,0,0,0,0,0,26,26,"1,111","1,056","£2,653,516.32","£339,989.23","£7,250.00","£85,723.43","£594,588.07","£320,692.80","£4,001,759.85","£80,612.64",,"£80,612.64","£4,082,372.49",
Vehicle Certification Agency,Executive Agency,Department for Transport,36,31.66,33,30.49,74,71.35,9,9,1,1,0,0,153,144,1,1,0,0,0,0,0,0,1,1,154,145,"£455,948.67","£20,942.00",£0.00,"£14,246.00","£90,403.00","£47,630.00","£629,169.67","£2,327.00",,"£2,327.00","£631,496.67",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,7,7,6,5.6,2,2,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,15,"£45,047.00","£3,039.00",,,"£5,024.00","£5,335.00","£58,445.00",£611.00,"£1,002.00","£1,613.00","£60,058.00",
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,66,65.61,57,57,373,372.72,370,369.19,171,170.89,124,117.3,"1,161","1,153",63,63,234,234,123,123,0,0,420,420,"1,581","1,573","£8,275,700.72",£0.00,£0.00,£0.00,"£535,786.90","£696,419.21","£9,507,906.83","£1,955,515.54",£0.00,"£1,955,515.54","£11,463,422.37",
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,9.6,17,17,61,59.8,13,12.8,4,4,73,67.7,196,171,19,12.46,0,0,0,0,0,0,19,12.46,215,183,"£517,628.39","£9,926.92",£0.00,"£22,989.78","£109,001.24","£59,456.29","£719,002.62","£39,458.09",,"£39,458.09","£758,460.71",
