Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,297,283.85752,512,499.448,971,948.75752,1520,1493.26363,369,360.64475,1641,1632.34567,"5,310","5,218",2,2,46,44.5,208,205.9,0,0,256,252.4,"5,566","5,471","£18,787,529.60","£732,493.56","£897,029.52","£124,883.03","£3,973,891.15","£2,322,232.99","£26,838,059.85","£2,669,193.00",£0.00,"£2,669,193.00","£29,507,252.85"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.55556,4,4,7,6.8,5,4.8,0,0,1,1,18,17.15556,0,0,0,0,0,0,0,0,0,0,18,17.15556,"£57,920.47",£166.67,£0.00,£0.00,"£12,689.49","£6,274.67","£77,051.30",£0.00,£0.00,£0.00,"£77,051.30"
Crown Commercial Services,Executive Agency,Cabinet Office,25,24.43,90,84.98,280,269.9,178,170.06,20,19,0,0,593,568.37,17,17,0,0,0,0,0,0,17,17,610,585.37,"£1,985,706.26","£36,430.36",£0.00,£224.87,"£410,141.79","£226,550.99","£2,659,054.27","£217,975.24","£365,343.39","£583,318.63","£3,242,372.90"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,76,72,445,409,245,231,74,73,16,16,0,0,856,801,44,44,0,0,8,2.5,0,0,52,46.5,908,847.5,"£2,026,579.85","£34,314.02","£14,000.00","£11,074.50","£423,168.26","£207,646.53","£2,716,783.16","£92,170.69",£0.00,"£92,170.69","£2,808,953.85"
Government Property Agency,Executive Agency,Cabinet Office,1,1,21,20.05,33,32.28,49,48.39,6,6,0,0,110,107.72,0,0,0,0,5,5,0,0,5,5,115,112.72,"£381,843.00","£15,423.00",£0.00,£133.00,"£85,668.00","£44,409.00","£527,476.00","£52,064.00",£0.00,"£52,064.00","£579,540.00"
