Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,115,108.82,762,732.55,1854,1787.64,1266,1207.65,176,165.68,,,4173,4002.34,29,16.68,,,33,33,,,62,49.68,4235,4052.02,,,,,,,0,,,0,0,"Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE.  In previous monthly workforce MI returns, only Hays agency staff were recorded.  From April 2012 onwards, agency staff from both Reed and Hays will be recorded and from May 2014 Brook Street information will be recorded."
Education & Skills Funding Agency ,Executive Agency,Department for Education,47,44.55,200,193.12,696,669.49,657,644.12,43,42.28,,,1643,1593.56,16,16,34,34,140,131.4,,,190,181.4,1833,1774.96,,,,,,,0,,,0,0,
Teaching Regulation Authority,Executive Agency,Department for Education,11,10.61,23,22.27,32,30.32,48,45.57,1,1,,,115,109.77,0,0,0,0,0,0,0,0,0,0,115,109.77,,,,,,,0,,,0,0,
Standards and Testing Agency,Executive Agency,Department for Education,1,1,20,19.46,69,67.48,30,28.76,4,3.92,,,124,120.62,2,2,1,0.6,22,14.45,1,0.05,26,17.1,150,137.72,,,,,,,0,,,0,0,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,5,5,3,3,12,11.4,8,7.6,3,2.8,,,31,29.8,,,,,,,,,0,0,31,29.8,106936.73,1272.04,,,23813.04,11850.62,143872.43,,,0,143872.43,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,,,16,15,114,108.4,57,53.7,12,12,,,199,189.1,1,1,5,4.6,,,,,6,5.6,205,194.7,662718,14304,0,0,142330,73553,892905,70833,,70833,963738,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,373,340.25,589,574.1714286,298,293.2357143,21,20.71428571,6,6,,,1287,1234.371429,112,75.93,,,83,46.09,1,0.75,196,122.77,1483,1357.141429,3173942.64,182236.78,0,47435.13,413974.86,315801.45,4133390.86,460525.39,7301.32,467826.71,4601217.57,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,9,9,24,23,22,22,5,5,,,,,60,59,,,,,,,,,0,0,60,59,228978,22867,28000,0,34666,30785,345296,,,0,345296,
Office for Students,Executive Non-Departmental Public Body,Department for Education,27,23.3,8,7.1,201,183.11,113,102.54,26,25.61,,,375,341.66,4,4,,,24,24,,,28,28,403,369.66,1156938.75,15392.22,,6817.08,245045.32,124281.49,1548474.86,186893.35,,186893.35,1735368.21,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2033,1924.950933,882,853.401,187,182.886,26,25.6,4,3.8,0,0,3132,2990.637933,2,2,0,0,16,16,0,0,18,18,3150,3008.637933,5854050.18,167432,7864.11,126430.03,674877.55,524438.77,7355092.64,121751.67,0,121751.67,7476844.31,Headcount has increased with planned inductions within our Operations areas 
Institute for Apprenticeships,Executive Non-Departmental Public Body,Department for Education,5,5,5,5,24,23.5,57,53.28,9,9,,,100,95.78,8,8,,,,,,,8,8,108,103.78,368102,4430.48,,,77043.15,44465.81,494041.44,20711.73,,20711.73,514753.17,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,1,1,1,1,51,51,53,53,,,,,,,,,0,0,53,53,290621,,,,11702.9,30860.63,333184.53,,,0,333184.53,
