,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",124,118.36,420,412.96,1742,1710.00,1846,1789.41,266,255.70,,,4398,4286.44,22,21.00,,,5,5.00,72,71.26,99,97.26,"4,497","4,384","£16,372,326.33","£707,065.24","£76,975.00","£50,592.70","£4,546,138.06","£1,913,158.63","£23,666,255.96","£144,726.00","£729,029.00","£873,755.00","£24,540,010.96",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",50,43.42,311,290.08,529,491.87,50,45.65,5,5.00,,,945,876.02,,,,,,,,,0,0.00,945,876,"£2,289,132.07","£20,258.78",£0.00,"£4,332.30","£598,057.42","£226,114.53","£3,137,895.10",,,£0.00,"£3,137,895.10",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1060,1038.10,285,277.00,145,140.80,17,16.00,4,4.00,,,1511,1475.90,,,,,,,,,0,0.00,"1,511","1,476","£4,606,851.98","£119,658.84",,"£449,777.08","£844,830.90","£487,639.41","£6,508,758.21",,,£0.00,"£6,508,758.21",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.40,33,32.00,152,149.60,54,53.40,3,3.00,0,0,256,250.40,4,4.00,0,0,0,0.00,0,0.00,4,4.00,260,254,"£795,647.17","£12,012.95",£894.32,£0.00,"£215,571.08","£85,745.48","£1,109,871.00","£16,659.21",£0.00,"£16,659.21","£1,126,530.21",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,0.04,1,1.00,8,8.00,19,18.03,5,4.20,,,34,31.27,,,,,,,,,0,0.00,34,31,"£155,732.62",,,,"£37,701.42","£19,321.53","£212,755.57",,,£0.00,"£212,755.57",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",438,378.00,257,242.00,249,239.00,53,52.00,6,6.00,,,1003,917.00,1,1.00,,,,,10,10.00,11,11.00,"1,014",928,"£2,156,328.54","£35,585.75",£808.07,"£10,998.46","£585,178.67","£205,970.00","£2,994,869.49","£4,502.57","£112,005.28","£116,507.85","£3,111,377.34",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,2,2.00,3,2.72,7,7.00,1,1.00,,,18,17.72,,,,,,,2,2.00,2,2.00,20,20,"£72,556.20",,,,"£20,284.26","£8,209.62","£101,050.08",,"£5,900.00","£5,900.00","£106,950.08",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1407,1336.86,2169,1879.71,1850,1654.12,235,217.65,23,22.65,0,0,5684,5110.99,0,0.00,29,29,0,0.00,0,0.00,29,29.00,"5,713","5,140","£12,343,684.32","£250,926.88","£37,873.54","£1,095,012.49","£3,324,760.01","£10,435,292.57","£27,487,549.81","£84,826.33","£13,042.00","£97,868.33","£27,585,418.14","Please note an updated figure for July NI contributions to include Apprentice levy - 10,373,970.75+66,917=10,440,895.75",,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",567,532.55,192,181.37,757,726.07,119,116.35,10,10.00,0,0,1645,1566.33,54,54.00,,,11,11.00,,,65,65.00,"1,710","1,631","£4,171,207.09","£17,021.52","£23,550.00","£19,316.49","£1,129,904.03","£427,709.01","£5,788,708.14","£858,202.20",,"£858,202.20","£6,646,910.34",,,
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",210,195.05,376,348.57,408,392.79,309,290.86,26,25.86,,,1329,1253.13,22,22.00,,,65,64.60,,,87,86.60,"1,416","1,340","£3,873,938.00","£134,819.00","£15,130.00","£77,665.00","£1,095,523.00","£430,234.00","£5,627,309.00","£637,118.00",,"£637,118.00","£6,264,427.00","Please note on last month’s August return. The figure for Total Monthly cost of contingent labour was omitted in column AK and should have read £603,921 making a grand total of £5,832,478 (£5,228,557 + £ 603,921)",,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,1986,1891.4,1986,1891.40,14,12.00,,,85,77.20,18,8.00,117,97.20,"2,103","1,989","£5,878,535.04","£201,554.51",,,"£1,632,040.16","£701,183.50","£8,413,313.21","£708,448.26","£93,450.00","£801,898.26","£9,215,211.47",,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,258,246.19,258,246.19,13,13.00,55,54,,,,,68,67.00,326,313,"£1,406,546.14","£66,304.59",£0.00,£0.00,"£359,760.38","£176,875.30","£2,009,486.41","£288,162.98",,"£288,162.98","£2,297,649.39",,,
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",68,63.01,163,160.16,622,611.42,208,198.25,14,13.30,81,81,1156,1127.14,4,4.00,0,0,336,336.00,0,0.00,340,340.00,"1,496","1,467","£4,101,730.63",,"£175,586.41","£90,881.73","£705,048.58","£433,322.78","£5,506,570.13","£1,883,521.63",,"£1,883,521.63","£7,390,091.76",Allowances included in salary costs.,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,8,8.00,88,87.40,94,93.00,9,8.70,0,0,200,198.10,6,6.00,0,0,11,11.00,0,0.00,17,17.00,217,215,"£776,226.03","£18,564.53","£7,987.00",£0.00,"£216,383.45","£90,287.60","£1,109,448.61","£129,984.70",£0.00,"£129,984.70","£1,239,433.31",,,
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",647,584.40,1260,1188.90,4249,4099.20,1207,1148.60,195,181.80,444,409.8,8002,7612.70,201,201.00,31,31,62,62.00,0,0.00,294,294.00,"8,296","7,907","£23,445,021.67","£1,095,691.80","£136,967.59","£147,669.39","£5,686,332.68","£2,581,919.50","£33,093,602.63","£1,228,403.00","£30,307.00","£1,258,710.00","£34,352,312.63",,,
