Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",469,412.00,259,248.00,140,137.00,36,35.00,4,3.00,0,0.00,908,835.00,1,1.00,0,0.00,0,0.00,22,22.00,23,23,931,858,"£1,802,533.92","£34,165.33","£121,899.07","£30,551.77","£377,230.02","£187,743.35","£2,554,123.46","£2,099.97","£204,348.67","£206,448.64","£2,760,572.10",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,1,1.00,7,6.60,4,4.00,1,1.00,0,0.00,18,17.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18,18,"£59,912.46",£0.00,"£4,500.00",£0.00,"£12,935.78","£7,192.65","£84,540.89",£0.00,£800.00,£800.00,"£85,340.89",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),425,393.18,595,582.28,294,288.55,20,20.00,4,4.00,0,0.00,"1,338","1,288.01",78,66.65,1,0.75,91,48.03,2,1.95,172,117,"1,510","1,405","£3,253,084.93","£181,030.06",£0.00,"£47,589.68","£452,906.26","£324,465.22","£4,259,076.15","£663,895.51","£3,019.64","£666,915.15","£4,925,991.30",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",11,9.35,31,28.64,74,70.05,16,15.72,2,2.00,0,0.00,134,125.76,2,2.00,0,0.00,0,0.00,0,0.00,2,2,136,128,"£357,284.34","£3,474.51","£19,300.00",£277.79,"£89,882.49","£39,070.28","£509,289.41","£2,341.71",£0.00,"£2,341.71","£511,631.12",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),11,8.00,36,35.00,16,16.00,5,5.00,0,0.00,1,0.00,69,64.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,69,64,"£235,144.00","£19,992.00",£0.00,£0.00,"£53,544.00","£27,266.00","£335,946.00",£0.00,£0.00,£0.00,"£335,946.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",42,40.03,30,28.54,142,133.31,32,30.72,4,4.00,0,0.00,250,236.60,0,0.00,0,0.00,2,2.00,0,0.00,2,2,252,239,"£654,076.66","£10,655.45","£2,000.00","£1,828.15","£168,317.77","£63,842.51","£900,720.54","£5,199.12",£0.00,"£5,199.12","£905,919.66",
Higher Education Funding Council for England (HEFCE)**,Executive non-departmental public body,Department for Education (DfE),28,23.00,9,8.00,172,156.00,97,87.00,32,31.00,0,0.00,338,305.00,23,22.00,0,0.00,0,0.00,0,0.00,23,22,361,327,"£985,995.76","£5,776.05",£0.00,£35.86,"£202,595.08","£103,615.09","£1,298,017.84","£143,418.21",£0.00,"£143,418.21","£1,441,436.05",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,46,46.00,61,61.00,183,183.00,7,7.00,0,0.00,297,297.00,16,16.00,0,0.00,0,0.00,0,0.00,16,16,313,313,"£1,155,064.65","£85,260.17",£0.00,£0.00,"£296,587.07","£233,292.93","£1,770,204.82","£86,797.66",£0.00,"£86,797.66","£1,857,002.48",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",505,470.70,170,161.60,595,566.84,100,99.10,8,8.00,0,0.00,"1,378","1,306.24",49,49.00,0,0.00,4,4.00,0,0.00,53,53,"1,431","1,359","£3,431,772.00","£6,470.00",£0.00,"£10,988.00","£730,708.00","£355,862.00","£4,535,800.00","£485,727.11",£0.00,"£485,727.11","£5,021,527.11",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",202,179.98,391,372.78,294,286.42,262,244.63,25,25.00,0,0.00,"1,174","1,108.81",22,22.00,0,0.00,17,17.00,0,0.00,39,39,"1,213","1,148","£3,045,018.00","£133,951.00","£5,415.00","£63,975.00","£682,561.00","£340,441.00","£4,271,361.00","£291,607.00",£0.00,"£291,607.00","£4,562,968.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",512,490.10,"2,208","1,931.00","1,697","1,555.10",201,186.90,17,17.00,0,0.00,"4,635","4,180.10",0,0.00,18,18.00,0,0.00,0,0.00,18,18,"4,653","4,198","£9,606,924.66","£195,660.91","£4,352,115.00","£740,689.28","£2,025,097.59","£1,674,217.07","£18,594,704.51","£223,462.86",£0.00,"£223,462.86","£18,818,167.37",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",231,214.00,349,334.00,986,965.00,129,124.00,85,80.00,31,19.00,"1,811","1,736.00",8,8.00,23,23.00,3,3.00,0,0.00,34,34,"1,845","1,770","£5,124,710.00","£321,870.00",£0.00,"£9,904.00","£673,439.00","£560,562.00","£6,690,485.00","£649,747.00",£0.00,"£649,747.00","£7,340,232.00",Contingent labour figure is higher than usual due to an accounting error last month.
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,113","2,025.50","2,113","2,025.50",6,5.43,0,0.00,72,71.58,0,0.00,78,77,"2,191","2,103","£5,655,431.00","£343,478.00",£0.00,"£161,062.00","£1,243,323.00","£627,084.00","£8,030,378.00","£556,938.00",£0.00,"£556,938.00","£8,587,316.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",241,213.60,422,395.70,"1,190","1,136.60",364,345.20,22,21.50,283,280.20,"2,522","2,392.80",5,5.00,0,0.00,2,2.00,0,0.00,7,7,"2,529","2,400","£6,691,048.70","£226,393.10",£360.00,"£27,099.94","£1,689,636.66","£695,407.01","£9,329,945.41","£114,179.99",£0.00,"£114,179.99","£9,444,125.40",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,212,204.62,212,204.62,2,2,27,27,3,3,,,32,32,244,236.62,"£1,087,495.00","£60,675.00","£259,578.00",,"£238,435.00","£171,016.00","£1,817,199.00","£286,134.00",,"£286,134.00","£2,103,333.00",
Office for Fair Access (OFFA)**,Executive non-departmental public body,Department for Education (DfE),0,0.00,3,3.00,12,10.50,7,7.00,2,1.60,0,0.00,24,22.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0,24,22,"£89,183.74",£0.00,£0.00,£0.00,"£14,933.33","£9,894.05","£114,011.12",£0.00,£0.00,£0.00,"£114,011.12",
Oil & Gas Authority (OGA),Other,"Department for Business, Energy & Industrial Strategy (BEIS)",9,8.42,8,7.92,66,64.87,46,46,7,6.9,,,136,134.11,3,3,0,0,17,17,0,0,20,20,156,154.11,"£440,824.73","£208,685.96","£13,509.60",£274.29,"£124,656.18","£77,036.69","£864,987.45","£200,108.52","-£4,324.19","£195,784.33","£1,060,771.78",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",153,147.30,297,286.63,"1,148","1,123.42",382,367.55,38,36.28,66,66.00,"2,084","2,027.18",6,6.00,0,0.00,74,74.00,0,0.00,80,80,"2,164","2,107","£6,083,497.00","£253,215.34","£256,400.00","£77,461.79","£1,554,466.00","£716,507.78","£8,941,547.91","£284,417.59",£0.00,"£284,417.59","£9,225,965.50",
Skills Funding Agency (SFA)**,Executive agency,Department for Education (DfE),30,29.08,70,66.36,340,331.61,212,209.38,16,16.00,0,0.00,668,652.43,5,5.00,0,0.00,66,66.00,0,0.00,71,71,739,723,"£2,124,984.75","£28,331.38",£0.00,£685.25,"£455,748.57","£234,151.35","£2,843,901.30","£1,236,762.00",£0.00,"£1,236,762.00","£4,080,663.30","Higher non payroll cost -increases in accruals, partly due to a recharge of digital/IM costs for August and September."
Student Loans Company Ltd**,Executive non-departmental public body,Department for Education (DfE),"2,032","1,916.27",723,690.36,145,141.47,20,20.00,5,5.00,9,1.17,"2,934","2,774.27",2,2.00,0,0.00,24,24.00,0,0.00,26,26,"2,960","2,800","£5,042,513.79","£160,321.98","£6,624.50","£210,658.41","£546,125.08","£460,135.72","£6,426,379.48","£303,129.00",£0.00,"£303,129.00","£6,729,508.48",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",49,45.55,82,78.58,390,383.15,142,138.44,10,10.00,21,21.00,694,676.72,4,4.00,0,0.00,361,361.00,0,0.00,365,365,"1,059","1,042","£2,505,336.96",£0.00,"-£63,393.00","£48,591.96","£354,969.22","£294,598.61","£3,140,103.75","£1,373,235.85",£0.00,"£1,373,235.85","£4,513,339.60",
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),1,1.00,9,8.70,23,21.40,7,7.00,2,2.00,0,0.00,42,40.10,0,0.00,0,0.00,3,3.00,0,0.00,3,3,45,43,"£173,433.33",£0.00,£0.00,£0.00,"£30,993.24","£19,434.71","£223,861.28","£26,199.72",£0.00,"£26,199.72","£250,061.00",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,5,5,33,32.59,38,34.95,6,5.3,0,0,84,80,1,1,0,0,3,3,0,0,4,4,88,84,"£271,152.49","£3,243.00",£400.00,,"£58,998.35","£30,396.38","£364,190.22","£47,460.58",,"£47,460.58","£411,650.80",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
