Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,148,143.96,415,407.58,729,715.69,1106,1087.49,251,244.75,173,169.70,"2,822","2,769",3,3,168,168,199,199,2,2,372,372,"3,194","3,141","£9,965,514.72","£466,063.54","£49,877.00","£108,359.72","£2,226,844.70","£1,203,974.18","£14,020,633.86","£1,810,312.00","£164,574.00","£1,974,886.00","£15,995,519.86"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,1,1.00,7,6.60,5,5.00,1,1.00,0,0.00,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"£52,880.56",£166.67,£0.00,£0.00,"£11,650.48","£5,921.23","£70,618.94",£0.00,£0.00,£0.00,"£70,618.94"
Crown Commercial Services,Executive Agency,Cabinet Office,26,24.32,111,105.86,324,311.44,212,202.47,70,68.89,0,0.00,743,713,0,0,62,62,0,0,0,0,62,62,805,775,"£2,694,400.81","£1,888.73",£0.00,"£1,394.60","£551,052.93","£302,901.55","£3,551,638.62","£629,278.40","£304,486.65","£933,765.05","£4,485,403.67"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,105,100.00,447,411.00,241,225.00,65,64.00,18,18.00,0,0.00,876,818,4,4,0,0,3,1,0,0,7,5,883,823,"£1,948,509.36","£29,156.55",£0.00,"£13,817.30","£394,578.22","£190,949.91","£2,577,011.34","£29,615.96",£0.00,"£29,615.96","£2,606,627.30"
