Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,724,708.8,772,760.5,1666,1653,1199,1172.1,410,407.1,0,0,"4,771","4,702",33,33,,,42,41.3,6,6,81,80.3,"4,852","4,782","£13,253,810.23","£987,287.59","£89,290.43","£241,604.39","£2,639,103.79","£1,006,081.35","£18,217,177.78","£352,020.00",,"£352,020.00","£18,569,197.78",The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,34,32.02,17,15.51,13,11.95,10,9.92,1,1,4,4,79,74,,,,,,,,,0,0,79,74,"£162,028.00","£9,412.00",,"£2,314.00","£29,460.00","£12,832.00","£216,046.00",,,£0.00,"£216,046.00",
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,20,19.6,149,142.39,744,727.49,276,273.36,58,56.87,,,"1,247","1,220",121,119.74,81,77.64,,,,,202,197.38,"1,449","1,417","£3,820,886.57","£1,020,203.45","£13,725.00","£14,639.39","£791,277.77","£302,431.34","£5,963,163.52",,,£0.00,"£5,963,163.52",
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,3,2.5,2,2,1,1,,,6,6,,,,,,,,,0,0,6,6,"£23,846.29","£1,314.31","£7,240.00",,"£3,459.63","£3,535.73","£39,395.96",,,£0.00,"£39,395.96",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,7,7,9,9,3,3,2,2,,,21,21,,,,,,,,,0,0,21,21,"£74,554.43",,,,"£12,082.97","£7,273.61","£93,911.01",,,£0.00,"£93,911.01",
FCO Services,Executive Agency,Foreign and Commonwealth Office,145,142.83,194,190.3,465,446.82,131,130.8,10,9.78,0,0,945,921,52,52,15,15,317,317,0,0,384,384,"1,329","1,305","£2,461,235.96","£540,970.51","£38,350.00","£238,707.82","£466,898.27","£237,749.76","£3,983,912.32","£2,398,251.49",,"£2,398,251.49","£6,382,163.81",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£5,963,163.52",,,,,
