,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",79,76.65,409,399.18,2302,2270.55,2367,2305.15,329,316.75,0,0,5486,5368.28,12,12,0,0,55,49.6,16,11.26,83,72.86,"5,569","5,441.14","£20,854,617.21","£950,782.31","£71,050.00","£68,582.20","£5,858,130.96","£2,442,022.39","£30,245,185.07","£1,190,812.00","£3,683,483.00","£4,874,295.00","£35,119,480.07",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",54,47.54,346,326.61,604,562.06,58,53.56,6,6.00,0,0,1068,995.77,0,0,0,0,0,0,0,0,0,0.00,"1,068",995.77,"£2,684,880.29","£21,239.34","£16,710.00","£3,039.34","£719,057.50","£269,367.69","£3,714,294.16",£0.00,£0.00,£0.00,"£3,714,294.16",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1428,1400.50,164,160.45,29,27.80,0,0.00,0,0.00,0,0,1621,1588.75,0,0,0,0,0,0,0,0,0,0.00,"1,621","1,588.75","£4,914,665.60","£99,031.10","£24,837.02","£539,451.68","£923,292.86","£619,744.84","£7,121,023.10",£0.00,£0.00,£0.00,"£7,121,023.10",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.80,26,25.10,169,164.60,66,66.00,2,2.00,0,0,277,270.50,9,9,0,0,0,0,0,0,9,9.00,286,279.50,"£887,598.62","£16,934.99","£5,616.77",£605.62,"£241,577.78","£97,474.08","£1,249,807.86","£64,033.31",£0.00,"£64,033.31","£1,313,841.17",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,11,9.84,19,16.63,5,4.90,0,0,36,32.37,0,0,0,0,0,0,0,0,0,0.00,36,32.37,"£264,428.00",£0.00,£0.00,£0.00,"£45,864.00","£20,082.00","£330,374.00",£0.00,£0.00,£0.00,"£330,374.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",432,377.16,280,263.02,303,291.95,73,72.03,7,7.00,0,0,1095,1011.16,3,3,0,0,24,24,0,0,27,27.00,"1,122","1,038.16","£2,663,244.64","£30,192.42",£0.00,"£43,171.63","£723,960.09","£265,044.65","£3,725,613.43","£7,266.49","£237,625.10","£244,891.59","£3,970,505.02",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,6,6.00,0,0.00,1,1,16,15.72,0,0,0,0,0,0,2,2,2,2.00,18,17.72,"£66,865.10",£216.66,£0.00,£0.00,"£18,724.66","£7,630.01","£93,436.43",£0.00,"£4,000.00","£4,000.00","£97,436.43",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1679,1584.58,2206,1941.65,2128,1922.54,299,283.95,26,26.00,0,0,6338,5758.72,0,0,8,8.055555556,34,34.02852853,4,4,46,46.08,"6,384","5,804.80","£15,040,593.76","£217,952.86",£350.00,"£1,585,852.14","£4,053,263.23","£13,368,418.41","£34,266,430.40","£383,873.26","£36,512.27","£420,385.53","£34,686,815.93",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",637,599.95,210,199.26,801,768.10,141,138.08,8,8.00,0,0,1797,1713.40,58,58,0,0,7,7,0,0,65,65.00,"1,862","1,778.40","£4,639,788.14","£17,780.04",£750.00,"£3,877.24","£1,256,770.17","£472,573.59","£6,391,539.18","£466,163.26",£0.00,"£466,163.26","£6,857,702.44",,,
