Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health and Social Care (excl agencies),Ministerial Department,Department of Health and Social Care,40,39.52,412,402.12,1236,1208.32,1149,1114.09,251,242.89,33,32.45,3121,3039.39,120,119.92,,,109,119.92,5,5,234,244.84,3355,3284.23,"£12,142,036","£36,806","£88,900","£275,102","£3,299,638","£1,445,908","£17,288,390.08","£16,803,024",,"£16,803,024.00","£34,091,414.08",
Care Quality Commission,Executive Non-Departmental Public Body,Department of Health and Social Care,209,192.67,423,406.16,1934,1865.5,507,494.57,148,142.48,17,11,3238,3112.38,12,12,11,11,5,5,1,1,29,29,3267,3141.38,"£11,361,384","£84,010",0,"£17,168","£1,437,010","£1,179,230","£14,078,802.00",201188.87,,"£201,188.87","£14,279,990.87",
Health and Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health and Social Care,10,10,365,348.5,763,737,1251,1211.7,183,174.77,,,2572,2481.97,396,314.9,261,213.4,0,0,,,657,528.3,3229,3010.27,"£10,323,018","£434,990",,"£4,437","£2,052,866","£1,164,385","£13,979,695.23",4896782.61,,"£4,896,782.61","£18,876,477.84",
Health Education England,Special Health Authority,Department of Health and Social Care,89,81.39,757,710.44,706,671.7,672,638.55,1019,385.47,0,0,3243,2487.55,,,,,,,,,0,0,3243,2487.55,"£9,959,160",146194.02,,"£1,074","£1,232,007","£1,014,712","£12,353,146.20",,,£0.00,"£12,353,146.20",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,1,1,88,84.27,91,87,40,38.36,6,5.8,,,226,216.43,1,0.8,6,5.26,,,,,7,6.06,233,222.49,"£688,721",,,£0,"£89,836","£70,000","£848,556.73",,,£0.00,"£848,556.73",
Human Fertilisation and Embryology Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,0,0,19,18.2,36,35.4,9,8.5,4,3.5,0,0,68,65.6,1,1,0,0,5,5,0,0,6,6,74,71.6,"£244,703",,,,"£67,228","£27,109","£339,040.00","£49,755",,"£49,755.00","£388,795.00",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,1,1,5,5,29,27.69,9,9,3,3,,,47,45.69,,,,,,,,,0,0,47,45.69,190536.2,0,0,0,35353.41,21440.8,"£247,330.41","£18,733",,"£18,732.54","£266,062.95",
Medicines and Healthcare Products Regulatory Agency,Executive Agency,Department of Health and Social Care,45,44.61,212,205.57,489,480.23,423,404.55,164,147.07,0,0,1333,1282.03,35,35,6,5.97,13,12.19,0,0,54,53.16,1387,1335.19,"£5,244,843","£11,876",238300,"£35,258","£1,402,523","£621,318","£7,554,117.89","£1,365,869",,"£1,365,869.33","£8,919,987.22",
Monitor,Executive Non-Departmental Public Body,Department of Health and Social Care,7,7,5,4.8,20,18.89459,57,56.08889,28,26.84444,0,0,117,113.62792,,,,,,,,,0,0,117,113.62792,"£744,520",7103.51,0,0,"£223,384","£92,510","£1,067,517.18",,,£0.00,"£1,067,517.18",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health and Social Care,17,16.12,95,91.2,287,270,261,243.65,66,63.78,2,1.4,728,686.15,6,5.05,,,,,,,6,5.05,734,691.2,"£2,718,600","£7,556",,1097.97,"£536,599","£305,219","£3,569,071.97","£60,204",,"£60,204.31","£3,629,276.28",
